,Date,FPT_Close,FPT_Volume,HPG_Close,HPG_Volume,VCB_Close,VCB_Volume,TCB_Close,TCB_Volume,MWG_Close,MWG_Volume
0,2019-01-01,13053.306640625,0,7274.7392578125,0,34487.13671875,0.0,24480.181640625,0.0,25387.888671875,0.0
24,2019-02-04,13177.03515625,0,6416.81396484375,0,36421.0,0.0,25560.880859375,0.0,24388.828125,0.0
25,2019-02-05,13177.03515625,0,6416.81396484375,0,36421.0,0.0,25560.880859375,0.0,24388.828125,0.0
26,2019-02-06,13177.03515625,0,6416.81396484375,0,36421.0,0.0,25560.880859375,0.0,24388.828125,0.0
27,2019-02-07,13177.03515625,0,6416.81396484375,0,36421.0,0.0,25560.880859375,0.0,24388.828125,0.0
28,2019-02-08,13177.03515625,0,6416.81396484375,0,36421.0,0.0,25560.880859375,0.0,24388.828125,0.0
74,2019-04-15,14909.2294921875,0,7533.29296875,0,43834.11328125,0.0,23399.482421875,0.0,24241.904296875,0.0
84,2019-04-29,15326.810546875,0,7897.6171875,0,43769.65234375,0.0,22694.6796875,0.0,24947.12109375,0.0
85,2019-04-30,15326.810546875,0,7897.6171875,0,43769.65234375,0.0,22694.6796875,0.0,24947.12109375,0.0
86,2019-05-01,15326.810546875,0,7897.6171875,0,43769.65234375,0.0,22694.6796875,0.0,24947.12109375,0.0
174,2019-09-02,18830.701171875,0,6783.4892578125,0,49506.76953125,0.0,20204.37109375,0.0,36816.359375,0.0
258,2020-01-01,20674.765625,0,7180.72021484375,0,58490.515625,0.0,22130.833984375,0.0,35903.03125,0.0
274,2020-01-23,20036.43359375,0,8036.294921875,0,60565.5703125,0.0,22741.6640625,0.0,37540.71484375,0.0
275,2020-01-24,20036.43359375,0,8036.294921875,0,60565.5703125,0.0,22741.6640625,0.0,37540.71484375,0.0
276,2020-01-27,20036.43359375,0,8036.294921875,0,60565.5703125,0.0,22741.6640625,0.0,37540.71484375,0.0
277,2020-01-28,20036.43359375,0,8036.294921875,0,60565.5703125,0.0,22741.6640625,0.0,37540.71484375,0.0
278,2020-01-29,20036.43359375,0,8036.294921875,0,60565.5703125,0.0,22741.6640625,0.0,37540.71484375,0.0
323,2020-04-02,15000.728515625,0,5270.9541015625,0,42149.484375,0.0,14565.9423828125,0.0,19274.259765625,0.0
343,2020-04-30,18015.05859375,0,6569.59521484375,0,43446.38671875,0.0,16069.5224609375,0.0,25730.509765625,0.0
344,2020-05-01,18015.05859375,0,6569.59521484375,0,43446.38671875,0.0,16069.5224609375,0.0,25730.509765625,0.0
432,2020-09-02,21174.34765625,0,9262.8818359375,0,53821.6484375,0.0,20392.318359375,0.0,29541.26953125,0.0
519,2021-01-01,25078.23828125,0,15481.7119140625,0,63828.96484375,0.0,29601.755859375,0.0,37971.671875,0.0
547,2021-02-10,30255.130859375,0,15276.2861328125,0,61351.4375,0.0,32890.83984375,0.0,41037.51171875,0.0
548,2021-02-11,30255.130859375,0,15276.2861328125,0,61351.4375,0.0,32890.83984375,0.0,41037.51171875,0.0
549,2021-02-12,30255.130859375,0,15276.2861328125,0,61351.4375,0.0,32890.83984375,0.0,41037.51171875,0.0
550,2021-02-15,30255.130859375,0,15276.2861328125,0,61351.4375,0.0,32890.83984375,0.0,41037.51171875,0.0
551,2021-02-16,30255.130859375,0,15276.2861328125,0,61351.4375,0.0,32890.83984375,0.0,41037.51171875,0.0
597,2021-04-21,35177.42578125,0,21364.388671875,0,67154.0625,0.0,38670.2265625,0.0,45508.5234375,0.0
604,2021-04-30,34328.75390625,0,21700.54296875,0,65198.12109375,0.0,38529.265625,0.0,44997.55859375,0.0
605,2021-05-03,34328.75390625,0,21700.54296875,0,65198.12109375,0.0,38529.265625,0.0,44997.55859375,0.0
693,2021-09-02,46039.85546875,0,25060.185546875,0,64806.93359375,0.0,45389.359375,0.0,53031.671875,0.0
694,2021-09-03,46039.85546875,0,25060.185546875,0,64806.93359375,0.0,45389.359375,0.0,53031.671875,0.0
780,2022-01-03,46338.82421875,0,23633.994140625,0,66241.9375,0.0,46986.91015625,0.0,65399.3203125,0.0
800,2022-01-31,44594.88671875,0,21494.7109375,0,74816.40625,0.0,49618.1796875,0.0,63763.12890625,0.0
801,2022-02-01,44594.88671875,0,21494.7109375,0,74816.40625,0.0,49618.1796875,0.0,63763.12890625,0.0
802,2022-02-02,44594.88671875,0,21494.7109375,0,74816.40625,0.0,49618.1796875,0.0,63763.12890625,0.0
